Academic license - for non-commercial use only
Set parameter TimeLimit to value 7200

Gurobi Optimizer version 8.0.0 build v8.0.0rc0 (linux64)
Copyright (c) 2018, Gurobi Optimization, LLC

Read LP format model from file fernando/la07.lp
Reading time = 0.20 seconds
: 54965 rows, 105301 columns, 311145 nonzeros
Optimize a model with 54965 rows, 105301 columns and 311145 nonzeros
Variable types: 0 continuous, 105301 integer (105300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 9e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 10342 rows and 10422 columns
Presolve time: 1.33s
Presolved: 44623 rows, 94879 columns, 290588 nonzeros
Variable types: 0 continuous, 94879 integer (94878 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...

Presolve removed 70 rows and 70 columns
Presolved: 44553 rows, 94809 columns, 290448 nonzeros

Presolve removed 15 rows and 1 columns

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  107813    6.0387830e+02   0.000000e+00   2.544714e+05    666s
  108317    6.0381812e+02   0.000000e+00   4.994241e+05    670s
  108875    6.0375913e+02   0.000000e+00   1.257157e+06    675s
  109495    6.0367569e+02   0.000000e+00   8.656244e+05    680s
  110115    6.0357999e+02   0.000000e+00   1.124748e+06    686s
  110595    6.0350205e+02   0.000000e+00   3.443146e+05    690s
  111225    6.0342547e+02   0.000000e+00   1.549738e+05    696s
  111735    6.0335737e+02   0.000000e+00   3.650186e+06    701s
  112255    6.0328338e+02   0.000000e+00   2.718965e+05    705s
  112785    6.0322789e+02   0.000000e+00   2.206755e+05    710s
  113423    6.0315715e+02   0.000000e+00   5.813978e+05    716s
  113933    6.0309943e+02   0.000000e+00   5.876429e+05    721s
  114513    6.0304722e+02   0.000000e+00   1.935803e+06    726s
  115023    6.0298638e+02   0.000000e+00   2.957197e+05    730s
  115553    6.0293974e+02   0.000000e+00   2.987734e+05    735s
  116183    6.0287525e+02   0.000000e+00   8.395321e+05    741s
  116683    6.0282666e+02   0.000000e+00   4.296202e+05    745s
  117193    6.0277401e+02   0.000000e+00   9.110103e+05    750s
  117823    6.0271101e+02   0.000000e+00   1.477899e+05    756s
  118393    6.0266407e+02   0.000000e+00   3.541215e+06    761s
  118913    6.0260657e+02   0.000000e+00   5.479978e+05    766s
  119473    6.0254954e+02   0.000000e+00   2.284823e+05    771s
  119993    6.0250509e+02   0.000000e+00   4.628885e+05    776s
  120503    6.0246308e+02   0.000000e+00   6.983358e+05    780s
  121133    6.0241144e+02   0.000000e+00   1.472642e+05    786s
  121663    6.0237591e+02   0.000000e+00   1.365351e+05    791s
  122203    6.0233016e+02   0.000000e+00   4.551244e+05    795s
  122793    6.0227256e+02   0.000000e+00   7.270996e+05    800s
  123333    6.0221888e+02   0.000000e+00   2.730522e+05    805s
  123963    6.0216368e+02   0.000000e+00   3.319040e+05    811s
  124463    6.0212581e+02   0.000000e+00   1.673075e+05    815s
  124973    6.0210052e+02   0.000000e+00   5.948792e+04    820s
  125593    6.0206581e+02   0.000000e+00   2.604514e+06    826s
  126123    6.0204355e+02   0.000000e+00   1.740173e+05    831s
  126643    6.0200999e+02   0.000000e+00   8.831718e+05    836s
  127163    6.0198002e+02   0.000000e+00   1.173073e+05    840s
  127703    6.0194702e+02   0.000000e+00   1.809644e+06    846s
  128243    6.0191688e+02   0.000000e+00   5.101529e+05    851s
  128763    6.0189600e+02   0.000000e+00   1.766755e+05    855s
  129283    6.0187132e+02   0.000000e+00   2.689142e+05    860s
  129803    6.0184180e+02   0.000000e+00   1.274793e+05    865s
  130343    6.0181596e+02   0.000000e+00   1.258740e+06    870s
  130873    6.0179030e+02   0.000000e+00   1.274593e+06    875s
  131503    6.0174766e+02   0.000000e+00   7.604818e+05    881s
  132013    6.0171383e+02   0.000000e+00   1.536427e+06    886s
  132513    6.0168179e+02   0.000000e+00   3.072857e+05    890s
  133033    6.0165379e+02   0.000000e+00   1.721084e+05    895s
  133663    6.0161979e+02   0.000000e+00   8.640751e+05    901s
  134213    6.0160010e+02   0.000000e+00   3.853820e+05    906s
  134773    6.0156232e+02   0.000000e+00   2.795396e+05    911s
  135193    6.0153073e+02   0.000000e+00   5.464194e+05    915s
  135823    6.0148416e+02   0.000000e+00   1.965968e+06    921s
  136283    6.0146140e+02   0.000000e+00   1.364866e+05    925s
  136901    6.0142384e+02   0.000000e+00   3.765542e+05    930s
  137481    6.0139348e+02   0.000000e+00   1.133277e+06    936s
  138041    6.0136427e+02   0.000000e+00   2.089302e+05    941s
  138641    6.0133606e+02   0.000000e+00   3.095723e+05    946s
  139091    6.0131164e+02   0.000000e+00   5.250839e+05    950s
  139661    6.0128265e+02   0.000000e+00   5.798049e+05    955s
  140221    6.0125234e+02   0.000000e+00   1.064371e+06    961s
  140681    6.0122766e+02   0.000000e+00   2.785810e+06    965s
  141261    6.0119081e+02   0.000000e+00   5.635698e+05    970s
  141811    6.0116279e+02   0.000000e+00   2.344741e+05    976s
  142281    6.0113334e+02   0.000000e+00   1.098241e+06    980s
  142871    6.0110246e+02   0.000000e+00   3.929393e+05    986s
  143331    6.0108075e+02   0.000000e+00   2.325423e+05    990s
  143921    6.0105837e+02   0.000000e+00   2.113126e+05    995s
  144411    6.0103182e+02   0.000000e+00   2.679962e+05   1000s
  144981    6.0099975e+02   0.000000e+00   1.626970e+05   1006s
  145451    6.0097990e+02   0.000000e+00   1.234122e+05   1010s
  146031    6.0095207e+02   0.000000e+00   4.858972e+05   1015s
  146611    6.0092668e+02   0.000000e+00   2.741492e+05   1021s
  147101    6.0090631e+02   0.000000e+00   1.283306e+05   1026s
  147681    6.0088804e+02   0.000000e+00   2.221194e+04   1031s
  148141    6.0086982e+02   0.000000e+00   4.501005e+05   1035s
  148739    6.0084368e+02   0.000000e+00   6.621539e+05   1041s
  149249    6.0081827e+02   0.000000e+00   3.038448e+05   1045s
  149839    6.0079409e+02   0.000000e+00   1.454200e+05   1051s
  150419    6.0077396e+02   0.000000e+00   1.001789e+05   1056s
  150899    6.0076014e+02   0.000000e+00   6.049764e+05   1060s
  151479    6.0073968e+02   0.000000e+00   6.048462e+05   1065s
  152049    6.0071996e+02   0.000000e+00   7.171569e+04   1071s
  152519    6.0070460e+02   0.000000e+00   1.772898e+05   1075s
  153099    6.0068695e+02   0.000000e+00   1.597908e+06   1081s
  153679    6.0066830e+02   0.000000e+00   5.209865e+05   1086s
  154159    6.0065420e+02   0.000000e+00   1.117599e+05   1090s
  154749    6.0063849e+02   0.000000e+00   1.215225e+05   1096s
  155337    6.0062085e+02   0.000000e+00   7.268638e+04   1101s
  155847    6.0060606e+02   0.000000e+00   6.498918e+04   1105s
  156397    6.0058853e+02   0.000000e+00   2.088469e+05   1110s
  156937    6.0057495e+02   0.000000e+00   6.062067e+05   1116s
  157417    6.0056557e+02   0.000000e+00   3.387518e+05   1120s
  158007    6.0055044e+02   0.000000e+00   8.139713e+05   1126s
  158547    6.0053059e+02   0.000000e+00   9.055483e+05   1131s
  159117    6.0050869e+02   0.000000e+00   1.206555e+05   1136s
  159547    6.0049156e+02   0.000000e+00   1.658990e+05   1140s
  160097    6.0047246e+02   0.000000e+00   2.649884e+05   1145s
  160647    6.0045890e+02   0.000000e+00   3.449630e+05   1151s
  161227    6.0044190e+02   0.000000e+00   3.577833e+05   1156s
  161777    6.0042663e+02   0.000000e+00   5.556551e+04   1161s
  162237    6.0041668e+02   0.000000e+00   9.083020e+05   1165s
  162797    6.0040442e+02   0.000000e+00   7.182368e+05   1171s
  163295    6.0039377e+02   0.000000e+00   3.213998e+05   1175s
  163895    6.0038233e+02   0.000000e+00   3.663804e+05   1181s
  164475    6.0037049e+02   0.000000e+00   2.949045e+05   1186s
  164935    6.0036078e+02   0.000000e+00   4.281490e+05   1190s
  165485    6.0035059e+02   0.000000e+00   3.269516e+04   1195s
  166035    6.0033833e+02   0.000000e+00   7.407066e+05   1201s
  166585    6.0032731e+02   0.000000e+00   3.740563e+05   1206s
  167025    6.0032041e+02   0.000000e+00   2.188294e+05   1210s
  167633    6.0031025e+02   0.000000e+00   4.617780e+04   1216s
  168073    6.0029682e+02   0.000000e+00   6.797269e+04   1220s
  168663    6.0028437e+02   0.000000e+00   2.548858e+05   1225s
  169243    6.0027119e+02   0.000000e+00   3.508557e+06   1231s
  169781    6.0025819e+02   0.000000e+00   6.985649e+04   1235s
  170411    6.0024628e+02   0.000000e+00   8.235696e+04   1241s
  170981    6.0023706e+02   0.000000e+00   6.253284e+04   1246s
  171451    6.0023008e+02   0.000000e+00   3.451926e+05   1250s
  172041    6.0021970e+02   0.000000e+00   5.284479e+04   1256s
  172631    6.0021151e+02   0.000000e+00   7.214603e+04   1261s
  173101    6.0020303e+02   0.000000e+00   6.432332e+04   1265s
  173711    6.0019346e+02   0.000000e+00   1.767567e+05   1271s
  174171    6.0018781e+02   0.000000e+00   1.743590e+06   1275s
  174741    6.0017949e+02   0.000000e+00   7.448704e+04   1280s
  175321    6.0017275e+02   0.000000e+00   2.481558e+04   1286s
  175861    6.0016792e+02   0.000000e+00   9.546943e+04   1291s
  176331    6.0016120e+02   0.000000e+00   3.932138e+04   1295s
  176891    6.0015194e+02   0.000000e+00   2.138098e+05   1301s
  177351    6.0014372e+02   0.000000e+00   5.421938e+04   1305s
  177911    6.0013454e+02   0.000000e+00   8.353571e+05   1310s
  178481    6.0012600e+02   0.000000e+00   8.514002e+04   1316s
  178911    6.0012228e+02   0.000000e+00   1.079783e+06   1320s
  179481    6.0011523e+02   0.000000e+00   8.650276e+04   1325s
  180061    6.0010706e+02   0.000000e+00   3.962375e+06   1331s
  180641    6.0009990e+02   0.000000e+00   1.714183e+05   1336s
  181101    6.0009471e+02   0.000000e+00   1.025905e+05   1340s
  181671    6.0008672e+02   0.000000e+00   9.010123e+04   1345s
  182251    6.0008004e+02   0.000000e+00   2.572122e+04   1351s
  182701    6.0007581e+02   0.000000e+00   9.180511e+04   1355s
  183281    6.0006958e+02   0.000000e+00   7.335662e+05   1360s
  183871    6.0006191e+02   0.000000e+00   1.501404e+05   1366s
  184341    6.0005675e+02   0.000000e+00   3.940726e+04   1370s
  184911    6.0005003e+02   0.000000e+00   8.323601e+04   1375s
  185491    6.0004335e+02   0.000000e+00   4.306195e+04   1380s
  186119    6.0003785e+02   0.000000e+00   2.022068e+06   1386s
  186589    6.0003379e+02   0.000000e+00   1.713593e+04   1391s
  187169    6.0002850e+02   0.000000e+00   1.780208e+04   1396s
  187639    6.0002439e+02   0.000000e+00   1.166985e+05   1400s
  188199    6.0001864e+02   0.000000e+00   7.858774e+05   1405s
  188739    6.0001367e+02   0.000000e+00   1.788247e+05   1411s
  189417    6.0000541e+02   0.000000e+00   2.080840e+06   1416s
  189897    5.9999931e+02   0.000000e+00   1.188700e+05   1421s
  190487    5.9999482e+02   0.000000e+00   4.275110e+04   1426s
  190947    5.9999207e+02   0.000000e+00   1.519501e+04   1430s
  191487    5.9998958e+02   0.000000e+00   1.143865e+05   1436s
  192067    5.9998651e+02   0.000000e+00   3.380144e+04   1441s
  192517    5.9998394e+02   0.000000e+00   1.138554e+04   1445s
  193057    5.9998031e+02   0.000000e+00   2.300059e+04   1450s
  193627    5.9997668e+02   0.000000e+00   6.453241e+03   1456s
  194087    5.9997451e+02   0.000000e+00   1.669598e+04   1460s
  194687    5.9997103e+02   0.000000e+00   1.298319e+05   1465s
  195277    5.9996811e+02   0.000000e+00   2.569903e+04   1471s
  195747    5.9996482e+02   0.000000e+00   4.906974e+04   1475s
  196297    5.9996139e+02   0.000000e+00   1.753453e+04   1480s
  196877    5.9995803e+02   0.000000e+00   1.488089e+05   1486s
  197347    5.9995501e+02   0.000000e+00   9.857535e+04   1490s
  197937    5.9995016e+02   0.000000e+00   9.788853e+03   1496s
  198547    5.9994674e+02   0.000000e+00   4.148993e+05   1501s
  199057    5.9994357e+02   0.000000e+00   1.802917e+04   1505s
  199617    5.9994079e+02   0.000000e+00   3.110120e+04   1511s
  200187    5.9993822e+02   0.000000e+00   8.117618e+04   1516s
  200645    5.9993646e+02   0.000000e+00   1.011323e+05   1520s
  201163    5.9993397e+02   0.000000e+00   2.717411e+04   1525s
  201791    5.9992950e+02   0.000000e+00   9.705639e+04   1531s
  202271    5.9992756e+02   0.000000e+00   1.868133e+05   1535s
  202841    5.9992469e+02   0.000000e+00   1.562503e+04   1541s
  203301    5.9992244e+02   0.000000e+00   5.537600e+04   1545s
  203891    5.9991977e+02   0.000000e+00   9.270617e+03   1551s
  204351    5.9991753e+02   0.000000e+00   1.636005e+04   1555s
  204931    5.9991513e+02   0.000000e+00   1.771727e+04   1561s
  205361    5.9991338e+02   0.000000e+00   3.102209e+04   1565s
  205931    5.9991055e+02   0.000000e+00   1.224404e+04   1570s
  206521    5.9990774e+02   0.000000e+00   1.225677e+05   1576s
  206951    5.9990624e+02   0.000000e+00   6.477971e+05   1580s
  207561    5.9990274e+02   0.000000e+00   2.201732e+05   1585s
  208131    5.9989907e+02   0.000000e+00   9.075167e+04   1591s
  208701    5.9989499e+02   0.000000e+00   7.207807e+04   1596s
  209291    5.9988995e+02   0.000000e+00   9.937531e+05   1601s
  209791    5.9988664e+02   0.000000e+00   4.779003e+05   1606s
  210271    5.9988452e+02   0.000000e+00   1.038169e+04   1610s
  210851    5.9988251e+02   0.000000e+00   1.331213e+05   1616s
  211321    5.9988070e+02   0.000000e+00   5.812026e+03   1620s
  211891    5.9987833e+02   0.000000e+00   2.673492e+04   1626s
  212351    5.9987623e+02   0.000000e+00   5.769041e+04   1630s
  212941    5.9987338e+02   0.000000e+00   1.989418e+04   1636s
  213421    5.9987119e+02   0.000000e+00   4.719668e+03   1641s
  213881    5.9986987e+02   0.000000e+00   5.279596e+04   1645s
  214451    5.9986828e+02   0.000000e+00   8.583567e+03   1651s
  214999    5.9986735e+02   0.000000e+00   1.697573e+04   1656s
  215585    5.9986623e+02   0.000000e+00   4.001131e+03   1660s
  216205    5.9986508e+02   0.000000e+00   1.310332e+04   1666s
  216699    5.9986420e+02   0.000000e+00   9.087217e+03   1671s
  217191    5.9986324e+02   0.000000e+00   3.155057e+03   1675s
  217721    5.9986229e+02   0.000000e+00   3.796743e+03   1681s
  218191    5.9986124e+02   0.000000e+00   1.507252e+05   1685s
  218651    5.9986041e+02   0.000000e+00   1.563737e+04   1690s
  219201    5.9985971e+02   0.000000e+00   9.817385e+03   1696s
  219651    5.9985901e+02   0.000000e+00   1.370659e+03   1700s
  220285    5.9985803e+02   0.000000e+00   1.401310e+04   1707s
  220693    5.9985738e+02   0.000000e+00   1.871859e+03   1710s
  221293    5.9985637e+02   0.000000e+00   2.403408e+03   1716s
  221713    5.9985584e+02   0.000000e+00   2.076758e+03   1720s
  222273    5.9985507e+02   0.000000e+00   4.695864e+03   1726s
  222703    5.9985461e+02   0.000000e+00   8.882769e+03   1730s
  223223    5.9985406e+02   0.000000e+00   2.104116e+03   1736s
  223663    5.9985345e+02   0.000000e+00   2.708390e+03   1740s
  224183    5.9985278e+02   0.000000e+00   5.448398e+02   1746s
  224715    5.9985230e+02   0.000000e+00   4.318279e+03   1751s
  225205    5.9985190e+02   0.000000e+00   3.583376e+03   1756s
  225625    5.9985161e+02   0.000000e+00   3.654058e+02   1760s
  226125    5.9985133e+02   0.000000e+00   1.890621e+03   1766s
  226633    5.9985118e+02   0.000000e+00   9.997255e+02   1771s
  227253    5.9985095e+02   0.000000e+00   1.967569e+02   1776s
  227745    5.9985083e+02   0.000000e+00   5.440865e+02   1781s
  228365    5.9985072e+02   0.000000e+00   3.463611e+01   1786s
  228829    5.9985067e+02   0.000000e+00   2.717360e+01   1791s
  229323    5.9985062e+02   0.000000e+00   1.915698e+02   1796s
  229819    5.9985059e+02   0.000000e+00   7.921541e+00   1800s
  230455    5.9985057e+02   0.000000e+00   2.631260e+01   1806s
  230865    5.9985055e+02   0.000000e+00   1.779898e+01   1811s
  231313    5.9985054e+02   0.000000e+00   1.210670e+01   1815s
  231872    6.0012543e+02   2.160183e+02   0.000000e+00   1821s
  232492    6.0012543e+02   4.644509e+02   0.000000e+00   1826s
  233112    6.0012543e+02   2.855838e+02   0.000000e+00   1830s
  233856    6.0012543e+02   3.528074e+02   0.000000e+00   1836s
  234476    6.0012543e+02   8.211001e+02   0.000000e+00   1840s
  235220    6.0012543e+02   8.693380e+02   0.000000e+00   1846s
  235840    6.0012543e+02   7.778999e+02   0.000000e+00   1850s
  236584    6.0012543e+02   2.264091e+02   0.000000e+00   1856s
  237204    6.0012543e+02   2.002801e+02   0.000000e+00   1861s
  237824    6.0012543e+02   9.266616e+01   0.000000e+00   1865s
  238568    6.0012543e+02   2.566596e-01   0.000000e+00   1871s
  238736    6.0012543e+02   0.000000e+00   0.000000e+00   1872s
  238736    6.0012543e+02   0.000000e+00   0.000000e+00   1872s
Concurrent spin time: 145.58s

Solved with primal simplex

Root relaxation: objective 6.001254e+02, 238736 iterations, 2016.13 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  600.12543    0 13531          -  600.12543      -     - 7200s

Explored 1 nodes (954230 simplex iterations) in 7200.01 seconds
Thread count was 4 (of 4 available processors)

Solution count 0

Time limit reached
Best objective -, best bound 6.010000000000e+02, gap -

Unable to retrieve attribute 'X'

